id,text,category,true_label,predicted_label,top_emotion,top_emotion_score
18,Solo quería decirte que no voy a estar aquí mañana.,Bloque 6 - Despedidas implícitas,1,0,surprise,0.126
19,"Cuídate mucho cuando ya no esté, te he querido mucho.",Bloque 6 - Despedidas implícitas,1,0,neutral,0.459
20,Quería aprovechar para deciros adiós antes de que sea tarde.,Bloque 6 - Despedidas implícitas,1,0,frustration,0.065
21,"Me rindo, ya no me quedan ganas de seguir intentándolo.",Bloque 7 - Rendición,1,0,frustration,0.081
22,"Esta noche quiero hacerme daño, no sé cómo aguantar esto.",Bloque 8 - Autolesión,1,0,neutral,0.594
23,"Ya sé cómo terminar con todo, lo tengo decidido desde hace días.",Bloque 9 - Planificación,1,1,frustration,0.401
24,"No me veo en el futuro, siento que no hay mañana para mí.",Bloque 10 - Negación del futuro,1,0,sadness,0.182
25,Llevo semanas planeando cómo desaparecer de la vida de todos sin hacer ruido.,Eufemismo / lenguaje indirecto,1,0,,
26,"He estado ordenando mis cosas y dejando todo listo, por si acaso ya no estoy.",Eufemismo / despedida indirecta,1,0,frustration,0.078
27,A veces pienso que sería un alivio para todos que yo simplemente dejara de existir.,Eufemismo / carga + ideación,1,0,frustration,0.066
28,"Estoy harta de respirar, ojalá pudiera simplemente apagarme como una luz.",Eufemismo / ideación pasiva,1,0,neutral,0.7
29,He escrito una carta para mi familia explicando por qué he decidido irme para siempre.,Eufemismo / planificación encubierta,1,0,frustration,0.07
30,"Si dejara de aparecer un día, nadie lo notaría demasiado, así que da igual lo que haga.",Eufemismo / desesperanza + carga,1,0,frustration,0.111
31,"Hoy ha sido un día horrible, he discutido con mi pareja y estoy fatal.",Negativo no crítico - relaciones,0,0,fear,0.098
32,"Estoy muy estresada con los exámenes, no sé si voy a llegar a tiempo.",Negativo no crítico - estudios,0,0,joy,0.759
33,"Me siento agotada después de la semana de trabajo, necesito descansar.",Negativo no crítico - cansancio,0,0,neutral,0.247
34,Estoy enfadado porque he perdido el autobús y voy a llegar tarde otra vez.,Negativo no crítico - enfado cotidiano,0,0,sadness,0.334
35,"Tengo miedo de la entrevista de trabajo de mañana, estoy muy nerviosa.",Negativo no crítico - ansiedad,0,0,,
36,Me siento triste porque mi mejor amigo se ha mudado de ciudad.,Negativo no crítico - tristeza,0,0,sadness,0.095
37,Odio que siempre me dejen las tareas más aburridas a mí en el trabajo.,Negativo no crítico - enfado,0,0,disgust,0.691
38,Estoy frustrada porque llevo semanas sin encontrar piso y nada sale bien.,Negativo no crítico - frustración,0,0,sadness,0.495
39,Hoy me he sentido sola todo el día y eso me ha entristecido bastante.,Negativo no crítico - soledad,0,0,sadness,0.126
40,Me da rabia que mi hermano nunca me escuche cuando le hablo.,Negativo no crítico - enfado familiar,0,0,fear,0.262
41,"Antes pensaba en rendirme con el proyecto, pero al final he conseguido terminarlo.",Trampa - lenguaje de riesgo en contexto pasado/resuelto,0,0,frustration,0.219
42,"Ya no aguanto este calor tan horrible, parece que no se va a ir nunca.",Trampa - 'ya no aguanto' fuera de contexto de crisis,0,0,surprise,0.123
43,Estoy tan cansada que esta noche me voy a la cama sin cenar.,Trampa - cansancio literal,0,0,sadness,0.259
44,El protagonista de la serie dice que quiere desaparecer del pueblo y empezar de cero en otra ciudad.,Trampa - contenido de ficción/tercera persona,0,0,,
45,"Estoy harta de hacer la compra todas las semanas, es una pérdida de tiempo.",Trampa - 'estoy harta de' contexto trivial,0,0,sadness,0.475
46,"¡Hoy me han dado una buena noticia, estoy muy contenta!",Positivo,0,0,anger,0.286
47,¿Qué planes tienes para el fin de semana? Yo estoy pensando en ir a la playa.,Neutro,0,0,love,0.724
48,"Gracias por escucharme siempre, de verdad que lo aprecio mucho.",Positivo - gratitud,0,0,anger,0.426
49,He empezado a ir al gimnasio y la verdad es que me siento con mucha energía.,Positivo - bienestar,0,0,frustration,0.182
50,Estoy emocionado porque este finde voy a ver a mis amigos después de mucho tiempo.,Positivo - ilusión,0,0,frustration,0.05
